Customer ID,Cluster,Persona,Recency,Frequency,Monetary,AverageOrderValue
12346.0,2,Frequent Buyers,326,12,77556.46,6463.038333333334
12347.0,0,Regular Customers,2,8,4921.53,615.19125
12348.0,0,Regular Customers,75,5,2019.4,403.88
12349.0,0,Regular Customers,19,4,4428.69,1107.1725
12350.0,1,Dormant Customers,310,1,334.4,334.4
12351.0,1,Dormant Customers,375,1,300.93,300.93
12352.0,0,Regular Customers,36,10,2849.84,284.98400000000004
12353.0,1,Dormant Customers,204,2,406.76,203.38
12354.0,1,Dormant Customers,232,1,1079.4,1079.4
12355.0,1,Dormant Customers,214,2,947.61,473.805
12356.0,0,Regular Customers,23,6,6371.73,1061.955
12357.0,0,Regular Customers,33,3,18287.66,6095.886666666666
12358.0,0,Regular Customers,2,5,3887.07,777.414
12359.0,0,Regular Customers,58,10,8873.39,887.3389999999999
12360.0,0,Regular Customers,52,8,4252.89,531.61125
12361.0,1,Dormant Customers,287,4,511.25,127.8125
12362.0,0,Regular Customers,3,11,5356.23,486.92999999999995
12363.0,1,Dormant Customers,110,2,552.0,276.0
12364.0,1,Dormant Customers,8,4,1313.1,328.275
12365.0,1,Dormant Customers,291,2,641.38,320.69
12366.0,1,Dormant Customers,634,1,500.24,500.24
12367.0,1,Dormant Customers,4,1,168.9,168.9
12368.0,1,Dormant Customers,628,1,917.6999999999999,917.6999999999999
12369.0,1,Dormant Customers,413,3,1791.15,597.0500000000001
12370.0,0,Regular Customers,51,7,4316.56,616.6514285714286
12371.0,0,Regular Customers,45,5,4067.38,813.476
12372.0,1,Dormant Customers,72,3,1298.04,432.68
12373.0,1,Dormant Customers,311,3,1127.65,375.8833333333334
12374.0,1,Dormant Customers,25,4,2989.2200000000003,747.3050000000001
12375.0,1,Dormant Customers,11,2,457.5,228.75
12376.0,1,Dormant Customers,390,2,503.15,251.575
12377.0,1,Dormant Customers,315,4,3426.32,856.58
12378.0,1,Dormant Customers,130,2,5416.32,2708.16
12379.0,1,Dormant Customers,82,4,1620.22,405.055
12380.0,0,Regular Customers,22,11,9676.300000000001,879.6636363636364
12381.0,1,Dormant Customers,5,5,1845.31,369.062
12383.0,1,Dormant Customers,185,5,1850.56,370.11199999999997
12384.0,1,Dormant Customers,29,2,585.27,292.635
12385.0,1,Dormant Customers,379,1,1938.4,1938.4
12386.0,1,Dormant Customers,338,2,401.9,200.95
12387.0,1,Dormant Customers,415,1,143.94,143.94
12388.0,0,Regular Customers,16,8,3901.11,487.63875
12389.0,1,Dormant Customers,403,3,1433.33,477.77666666666664
12390.0,1,Dormant Customers,80,1,549.84,549.84
12391.0,0,Regular Customers,22,6,2724.84,454.14000000000004
12392.0,1,Dormant Customers,591,1,234.75000000000003,234.75000000000003
12393.0,0,Regular Customers,72,6,2399.4500000000003,399.90833333333336
12394.0,1,Dormant Customers,64,2,1272.48,636.24
12395.0,0,Regular Customers,19,15,4721.17,314.74466666666666
12396.0,1,Dormant Customers,674,1,931.43,931.43
12397.0,1,Dormant Customers,36,2,2409.9,1204.95
12398.0,1,Dormant Customers,46,1,1635.6599999999999,1635.6599999999999
12399.0,0,Regular Customers,119,7,1962.3,280.3285714285714
12400.0,1,Dormant Customers,414,1,205.25,205.25
12401.0,1,Dormant Customers,303,1,84.3,84.3
12402.0,1,Dormant Customers,323,6,1256.9,209.48333333333335
12403.0,0,Regular Customers,50,2,1019.36,509.68
12404.0,1,Dormant Customers,682,1,63.24,63.24
12405.0,1,Dormant Customers,149,1,1710.39,1710.39
12406.0,0,Regular Customers,22,5,6390.36,1278.072
12407.0,1,Dormant Customers,50,5,1708.1200000000001,341.624
12408.0,0,Regular Customers,33,8,4340.7699999999995,542.5962499999999
12409.0,0,Regular Customers,79,7,23419.29,3345.612857142857
12410.0,1,Dormant Customers,309,3,1013.71,337.90333333333336
12411.0,1,Dormant Customers,410,1,346.9,346.9
12412.0,0,Regular Customers,75,6,2596.93,432.82166666666666
12413.0,1,Dormant Customers,67,4,999.45,249.8625
12414.0,1,Dormant Customers,217,6,952.41,158.73499999999999
12415.0,2,Frequent Buyers,24,28,144458.37,5159.2275
12416.0,1,Dormant Customers,657,1,202.56,202.56
12417.0,0,Regular Customers,3,20,6797.41,339.8705
12418.0,1,Dormant Customers,113,4,2021.2,505.3
12419.0,1,Dormant Customers,386,2,503.01,251.505
12420.0,1,Dormant Customers,64,1,600.39,600.39
12421.0,0,Regular Customers,16,6,1098.6,183.1
12422.0,0,Regular Customers,96,17,5231.8,307.7529411764706
12423.0,0,Regular Customers,1,10,2622.39,262.239
12424.0,1,Dormant Customers,163,4,3340.03,835.0075
12425.0,1,Dormant Customers,78,2,1741.41,870.705
12426.0,1,Dormant Customers,195,2,1345.21,672.605
12427.0,1,Dormant Customers,22,3,825.8,275.26666666666665
12428.0,0,Regular Customers,26,9,7956.46,884.0511111111111
12429.0,0,Regular Customers,9,8,6204.41,775.55125
12430.0,1,Dormant Customers,43,1,256.4,256.4
12431.0,0,Regular Customers,36,27,10432.22,386.3785185185185
12432.0,1,Dormant Customers,43,5,5059.32,1011.8639999999999
12433.0,0,Regular Customers,1,10,16794.14,1679.414
12434.0,1,Dormant Customers,85,3,1103.43,367.81
12435.0,0,Regular Customers,80,6,13925.93,2320.9883333333332
12436.0,1,Dormant Customers,100,1,509.01,509.01
12437.0,0,Regular Customers,2,39,12683.4,325.2153846153846
12438.0,1,Dormant Customers,14,2,2906.85,1453.425
12439.0,1,Dormant Customers,683,2,1142.88,571.44
12440.0,1,Dormant Customers,462,2,859.2,429.6
12441.0,1,Dormant Customers,367,1,173.55,173.55
12442.0,1,Dormant Customers,3,1,172.06,172.06
12443.0,1,Dormant Customers,732,1,485.31,485.31
12444.0,1,Dormant Customers,21,5,5005.46,1001.092
12445.0,1,Dormant Customers,22,2,434.98,217.49
12446.0,1,Dormant Customers,58,1,1002.3100000000001,1002.3100000000001
12447.0,1,Dormant Customers,243,1,476.49,476.49
12448.0,1,Dormant Customers,44,1,449.45,449.45
12449.0,0,Regular Customers,22,6,4835.89,805.9816666666667
12450.0,1,Dormant Customers,156,5,688.2,137.64000000000001
12451.0,0,Regular Customers,11,8,12669.88,1583.735
12452.0,1,Dormant Customers,17,2,430.57,215.285
12453.0,1,Dormant Customers,134,1,707.09,707.09
12454.0,0,Regular Customers,56,5,16679.78,3335.9559999999997
12455.0,0,Regular Customers,73,10,5879.95,587.995
12456.0,1,Dormant Customers,44,3,3181.04,1060.3466666666666
12457.0,1,Dormant Customers,66,8,2995.91,374.48875
12458.0,1,Dormant Customers,71,4,1777.49,444.3725
12459.0,1,Dormant Customers,605,1,454.36,454.36
12460.0,1,Dormant Customers,456,1,326.65,326.65
12461.0,1,Dormant Customers,94,2,826.88,413.44
12462.0,1,Dormant Customers,19,2,1189.59,594.795
12463.0,1,Dormant Customers,53,4,1344.78,336.195
12464.0,0,Regular Customers,10,8,1212.05,151.50625
12465.0,1,Dormant Customers,17,2,742.1899999999999,371.09499999999997
12466.0,1,Dormant Customers,682,1,56.73,56.73
12467.0,1,Dormant Customers,423,1,132.8,132.8
12468.0,1,Dormant Customers,188,5,3670.74,734.1479999999999
12469.0,1,Dormant Customers,523,2,3070.54,1535.27
12470.0,1,Dormant Customers,690,1,211.95,211.95
12471.0,0,Regular Customers,2,79,39918.19,505.2935443037975
12472.0,0,Regular Customers,32,19,16249.289999999999,855.2257894736841
12473.0,1,Dormant Customers,29,5,3928.0499999999997,785.6099999999999
12474.0,0,Regular Customers,17,31,12372.75,399.1209677419355
